id-query,id,kudos_delta,hits_delta,comments_delta,bookmarks_delta,words_delta,chapters_delta,modified_before_window,hits,kudos,comments,bookmarks,words,chapters,language,restricted,complete,crossover,date_queried,time_elapsed,query_batch
51528334-0,51528334,64,431,2,2,0,0,False,0,1,0,0,239,1,English,False,True,False,2023-11-11 23:54:56.031325,1 days 00:00:01.585572,0
51528322-0,51528322,3,9,0,0,0,0,False,0,0,0,0,3000,1,English,False,True,False,2023-11-11 23:54:56.032567,1 days 00:00:01.585733,0
51528094-0,51528094,5,130,0,2,0,0,False,0,0,0,0,3274,1,English,False,True,False,2023-11-11 23:54:56.033531,1 days 00:00:01.585840,0
51528310-0,51528310,2,41,0,0,0,0,False,0,0,0,0,1698,1,English,False,False,False,2023-11-11 23:54:56.036249,1 days 00:00:01.584365,0
51528319-0,51528319,15,204,0,0,0,0,False,0,0,0,0,655,1,English,False,True,False,2023-11-11 23:54:56.037383,1 days 00:00:01.584425,0
51390640-0,51390640,0,3,5,1,0,0,False,11,2,8,0,4226,7,Español,False,True,False,2023-11-11 23:54:56.038505,1 days 00:00:01.585423,0
49956211-0,49956211,13,714,8,4,0,0,False,20662,534,250,115,41959,25,English,False,False,False,2023-11-11 23:54:56.040216,1 days 00:00:01.585333,0
51527905-0,51527905,23,89,3,0,0,0,False,3,1,0,0,1000,1,English,False,True,False,2023-11-11 23:54:56.041215,1 days 00:00:01.585285,0
51528316-0,51528316,0,6,0,0,0,0,False,0,0,0,0,354,1,English,False,True,False,2023-11-11 23:54:56.042169,1 days 00:00:01.585300,0
51038980-0,51038980,1,49,3,0,0,0,False,710,36,35,1,50630,12,English,False,False,False,2023-11-11 23:54:56.043668,1 days 00:00:01.585360,0
51503683-0,51503683,5,63,6,0,1216,1,False,51,15,15,1,2415,2,English,False,False,False,2023-11-11 23:54:56.044781,1 days 00:00:01.585314,0
9810845-0,9810845,2,29,0,0,0,0,False,2523,73,13,1,21522,7,English,False,False,False,2023-11-11 23:54:56.046219,1 days 00:00:01.984877,0
51527770-0,51527770,0,13,0,0,0,0,False,0,0,0,0,35164,14,English,False,False,False,2023-11-11 23:54:56.047755,1 days 00:00:01.984868,0
51528298-0,51528298,2,31,0,0,0,0,False,0,0,0,0,2711,1,中文-普通话 國語,False,True,False,2023-11-11 23:54:56.048749,1 days 00:00:01.984892,0
51517747-0,51517747,6,19,0,2,2,0,False,0,0,0,0,2331,1,English,False,True,True,2023-11-11 23:54:56.049945,1 days 00:00:01.984996,0
45336010-0,45336010,8,193,1,2,0,0,False,4730,302,17,93,14584,2,English,False,False,False,2023-11-11 23:54:56.051325,1 days 00:00:01.984991,0
